ACC_NAME_TH,ACC_NAME_EN,ACCOM_TYPE_NAME,ACC_ROOM,ACC_HILIGHT,ACC_HIGH_RATE,ACC_LOW_RATE,ACC_ROAD,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ACC_LOCATION,Latitude,Longitude,ACC_STANDARD,ACC_LOCATION_1
ริมเล รีสอร์ท,,รีสอร์ท,13,,1400,600,,ภาคใต้,ตะกรบ,ไชยา,สุราษฎร์ธานี,"9.43641459106108, 99.27218735218048",9.436414591, 99.27218735218048,,"9.43641459106108, 99.27218735218048"
มธรักษ์ แก่งหินเพิง,Mataruk,รีสอร์ท,13,,1500,500,,ภาคตะวันออก,สำพันตา,นาดี,ปราจีนบุรี,"14.1486559, 101.747216",14.1486559,101.747216,,"14.1486559, 101.747216"
อิงกาญจน์ วิลล่า รีสอร์ท,Ingkan Villa Resort,รีสอร์ท,28,,1800,600,,ภาคกลาง,ท่าเรือ,ท่ามะกา,กาญจนบุรี,"13.9635361, 99.73391289999999",13.9635361, 99.73391289999999,6,"13.9635361, 99.73391289999999"
สะปำ อินน์,Sapam Inn,โรงแรม,22,,1000,800,,ภาคใต้,เกาะแก้ว,เมืองภูเก็ต,ภูเก็ต,"7.942961700000001, 98.3941091",7.942961700000001,98.3941091,6,"7.942961700000001, 98.3941091"
ภูเก็ต ออร์คิด รีสอร์ท แอนด์ สปา,Phuket Orchid Resort & Spa,รีสอร์ท,524,,2000,700,,ภาคใต้,กะรน,เมืองภูเก็ต,ภูเก็ต,"7.8342014, 98.29607179999999",7.8342014, 98.29607179999999,6,"7.8342014, 98.29607179999999"
บ้านต้นไทร การ์เด้น รีสอร์ท,Baan Tonsai Garden Resort,รีสอร์ท,107,,1200,1000,,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.881444800000002, 98.29473639999999",7.881444800000002, 98.29473639999999,6,"7.881444800000002, 98.29473639999999"
บ้านอีสานคันทรีเฮ้าส์,,โรงแรม,16,,1300,850,บ้านดงพัฒนา ซ1,ภาคตะวันออกเฉียงเหนือ,พังขว้าง,เมืองสกลนคร,สกลนคร,"17.1911931, 104.0859333",17.1911931,104.0859333,6,"17.1911931, 104.0859333"
ภูมิรีสอร์ท,Phumi Resort,รีสอร์ท,5,,920,700,เทพกระษัตรี,ภาคใต้,เทพกระษัตรี,ถลาง,ภูเก็ต,"8.030298499999999, 98.33472350000001",8.030298499999999, 98.33472350000001,6,"8.030298499999999, 98.33472350000001"
ปิงนครา บูติค โฮเทล แอนด์ สปา,Ping Nakara Boutique Hotel and Spa,โรงแรม,19,,13000,8000,เจริญประเทศ,ภาคเหนือ,ช้างคลาน,เมืองเชียงใหม่,เชียงใหม่,"18.77931419999999, 99.00460299999999",18.77931419999999, 99.00460299999999,,"18.77931419999999, 99.00460299999999"
ทองสุวรรณ รีสอร์ท,,รีสอร์ท,7,,1300,500,,ภาคตะวันออก,คลองขุด,ท่าใหม่,จันทบุรี,"12.5569287, 101.9185367",12.5569287,101.9185367,,"12.5569287, 101.9185367"
